Departement,Entreprise_Artisanale,Total,ALIMENTATION,FABRICATION,BATIMENT,SERVICES,CA,VA
Paris,41415,33916,2165,6232,15088,10431,10366281,4119777
Seine-et-Marne,20120,16925,918,2026,8323,5658,5260904,1967502
Yvelines,17025,14395,895,1597,6969,4934,5233208,1883048
Essonne,17127,14070,864,1421,7326,4459,4150302,1604591
Hauts-de-Seine,15322,12793,928,1298,5618,4949,4261561,1712656
Seine-Saint-Denis,23098,19177,1084,1710,10194,6189,4906761,1859847
Val-de-Marne,17601,14625,970,1483,7053,5119,4342048,1693719
Val-d'Oise,16926,14249,773,1525,7213,4738,4033383,1632224
Ardennes,4201,3531,330,552,1629,1020,991671,390856
Aube,4721,3787,282,578,1835,1092,1049730,413827
Marne,7602,6177,605,794,2918,1860,1664316,685931
Haute-Marne,2862,2273,206,423,971,673,673416,270639
Aisne,6902,5757,513,728,2805,1711,1481264,622101
Oise,10949,9285,636,1080,4636,2933,2504898,1008834
Somme,7643,5890,590,793,2668,1839,1845072,735816
Eure,9814,8261,697,1055,4231,2278,2166340,860666
Seine-Maritime,15261,12273,1382,1511,5314,4066,4041147,1638358
Cher,5315,4268,401,594,2094,1179,1142334,460798
Eure-et-Loir,6781,5615,469,785,2799,1562,1632368,623253
Indre,3905,3131,356,494,1413,868,853885,349022
Indre-et-Loire,9109,7533,677,1146,3506,2204,2405071,933541
Loir-et-Cher,5410,4503,436,663,2203,1201,1267146,512810
Loiret,8934,7791,581,1057,3934,2219,2276120,912830
Calvados,10890,8873,901,1000,4423,2549,3519036,1266575
Manche,7939,6249,864,794,2924,1667,2110130,803565
Orne,4927,3990,436,515,1984,1055,1047384,427281
Côte-d'Or,8185,7015,462,1092,3325,2136,2231192,851512
Nièvre,3756,3027,301,425,1422,879,789519,317345
Saône-et-Loire,8722,7582,695,1123,3545,2219,1987462,787011
Yonne,5755,4833,430,655,2438,1310,1120760,472670
Nord,26956,22217,2003,3062,9472,7680,7250054,2819350
Pas-de-Calais,15674,12740,1387,1442,5448,4463,4362151,1660163
Meurthe-et-Moselle,9839,7834,602,1139,3689,2404,2878694,1054056
Meuse,2639,2141,235,318,968,620,645026,251151
Moselle,15549,11966,792,1733,5777,3664,8921765,2477644
Vosges,6430,5431,441,929,2631,1430,1602202,603401
Bas-Rhin,15597,13259,1046,2060,5976,4177,7825807,2762367
Haut-Rhin,10088,8330,622,1343,3695,2670,4705833,1682731
Doubs,7498,6176,453,1133,2739,1851,2190828,804763
Jura,5395,4211,344,931,1859,1077,1241149,469392
Haute-Saône,4399,3511,306,578,1672,955,1030230,387563
TerritoiredeBelfort,2148,1622,130,253,721,518,1491686,345867
Loire-Atlantique,18019,15378,1161,2146,7538,4533,5726954,2127142
Maine-et-Loire,11361,9608,766,1578,4467,2797,3732656,1392371
Mayenne,4609,3738,378,552,1692,1116,1403532,492713
Sarthe,7373,6275,663,875,2674,2063,2054231,807046
Vendée,10912,9486,724,1319,4803,2640,4005979,1426871
Côtes-d'Armor,9631,8084,724,1013,4215,2132,2226876,895050
Finistère,14765,11676,1087,1565,5780,3244,3249906,1285963
Ille-et-Vilaine,13767,11412,1112,1527,5403,3370,4145748,1563829
Morbihan,13571,10661,969,1479,5358,2855,3783188,1310642
Charente,6325,5486,483,788,2637,1578,1444273,549204
Charente-Maritime,13114,10733,957,1437,5464,2875,2949321,1083012
Deux-Sèvres,5617,4697,409,628,2241,1419,1717941,627413
Vienne,6470,5408,476,730,2561,1641,1561299,595579
Dordogne,9620,8202,712,1074,4283,2133,1822925,687495
Gironde,25051,22674,1321,2831,11550,6972,5850739,2251923
Landes,7831,6427,461,834,3245,1887,2064042,687489
Lot-et-Garonne,7111,5977,506,819,2947,1705,1628099,573170
Pyrénées-Atlantiques,12871,11042,783,1657,5364,3238,2907205,1140609
Ariège,3831,2995,260,371,1603,761,623354,241268
Aveyron,6255,5216,446,801,2648,1321,1507258,548207
Haute-Garonne,21626,18092,1099,2205,9154,5634,4685774,1781348
Gers,4422,3678,320,435,1968,955,734020,277062
Lot,4703,3715,308,497,2031,879,864244,329339
Hautes-Pyrénées,4569,3908,321,426,2095,1066,812487,340544
Tarn,7873,6467,518,1165,3096,1688,1879477,697159
Tarn-et-Garonne,5008,4084,298,516,2164,1106,1034743,368613
Corrèze,5407,4172,388,596,2048,1140,1185002,435893
Creuse,2505,1999,200,261,1016,522,491773,189077
Haute-Vienne,6586,5198,441,837,2304,1616,1301517,498037
Ain,11768,9233,649,1701,4355,2528,3733454,1337401
Ardèche,6910,5615,541,737,2885,1452,1282667,492722
Drôme,10922,8845,668,1357,4411,2409,2655709,946779
Isère,22994,19058,1144,3059,9416,5439,5793911,2165348
Loire,12869,11076,921,2019,4932,3204,3642853,1393111
Rhône,28712,24148,1464,3877,10986,7821,7833304,2995307
Savoie,10624,8257,481,1130,4289,2357,2891001,1024584
Haute-Savoie,15897,12771,695,2106,6539,3431,3941345,1535760
Allier,5362,4551,426,616,2163,1346,1077386,446607
Cantal,3103,2468,248,278,1262,680,694106,254435
Haute-Loire,4692,3958,417,702,1875,964,1197116,429410
Puy-de-Dôme,10845,8972,739,1415,4263,2555,2446865,933521
Aude,7239,5936,473,629,3156,1678,1130454,449428
Gard,16174,13286,875,1642,7167,3602,2652021,998446
Hérault,24323,18807,1229,2033,10174,5371,4112722,1523726
Lozère,1954,1501,181,210,768,342,382011,149263
Pyrénées-Orientales,10187,8015,537,856,4273,2349,1753712,666475
Alpes-de-Haute-Provence,4127,3373,323,397,1787,866,893614,328565
Hautes-Alpes,3884,2815,245,353,1476,741,625819,247288
Alpes-Maritimes,32362,26083,1225,2927,13890,8041,4986488,1974949
Bouches-du-Rhône,35829,30283,2097,3811,14343,10032,7443281,2739256
Var,27931,22752,1312,2498,12941,6001,4218998,1640972
Vaucluse,13559,11336,706,1530,6121,2979,2571748,959501
Corse-du-Sud,4453,3691,276,381,2204,830,957060,369926
Haute-Corse,5202,4139,335,427,2408,969,1001008,346352
